iter	Passed	Remaining
257	4203	2313
258	4216	2295
259	4232	2279
260	4267	2272
261	4285	2257
262	4299	2239
263	4311	2220
264	4324	2203
265	4336	2184
266	4348	2166
267	4361	2148
268	4374	2130
269	4387	2112
270	4398	2093
271	4409	2075
272	4426	2059
273	4443	2043
274	4466	2030
275	4480	2012
276	4494	1995
277	4506	1977
278	4518	1959
279	4528	1940
280	4539	1922
281	4550	1904
282	4561	1886
283	4573	1868
284	4585	1850
285	4596	1832
286	4608	1814
287	4619	1796
288	4632	1779
289	4647	1763
290	4664	1747
291	4688	1733
292	4701	1716
293	4713	1699
294	4724	1681
295	4736	1664
296	4747	1646
297	4759	1629
298	4777	1613
299	4793	1597
300	4805	1580
301	4816	1562
302	4827	1545
303	4845	1530
304	4864	1515
305	4882	1499
306	4897	1483
307	4910	1466
308	4921	1449
309	4932	1432
310	4950	1416
311	4968	1401
312	4982	1385
313	5004	1370
314	5038	1359
315	5072	1348
316	5091	1333
317	5116	1319
318	5136	1304
319	5150	1287
320	5162	1270
321	5173	1253
322	5185	1236
323	5196	1218
324	5207	1201
325	5222	1185
326	5241	1170
327	5262	1155
328	5280	1139
329	5301	1124
330	5321	1109
331	5341	1094
332	5370	1080
333	5408	1068
334	5438	1055
335	5468	1041
336	5508	1029
337	5560	1019
338	5589	1005
339	5627	993
340	5642	976
341	5656	959
342	5666	941
343	5679	924
344	5690	907
345	5701	889
346	5717	873
347	5734	856
348	5752	840
349	5765	823
350	5778	806
351	5790	789
352	5802	772
353	5814	755
354	5825	738
355	5836	721
356	5848	704
357	5860	687
358	5873	670
359	5886	654
360	5897	637
361	5910	620
362	5925	603
363	5943	587
364	5959	571
365	5973	554
366	5987	538
367	5999	521
368	6010	504
369	6021	488
370	6032	471
371	6044	454
372	6057	438
373	6069	421
374	6081	405
375	6092	388
376	6105	372
377	6117	356
378	6133	339
379	6149	323
380	6169	307
381	6188	291
382	6202	275
383	6214	258
384	6227	242
385	6238	226
386	6249	209
387	6261	193
388	6272	177
389	6283	161
390	6294	144
391	6308	128
392	6323	112
393	6346	96
394	6371	80
395	6386	64
396	6399	48
397	6411	32
398	6421	16
399	6433	0
