iter	F1	Logloss
157	0.5682846995	0.2925457405
158	0.5682846995	0.2925404548
159	0.5681834019	0.2924203428
160	0.5702962036	0.2922909864
161	0.570673712	0.2922027038
162	0.570673712	0.292176051
163	0.5718059224	0.2916815661
164	0.5725604671	0.2915055619
165	0.572778434	0.2913833547
166	0.5723821443	0.2903714611
167	0.5723821443	0.2903483724
168	0.5726400667	0.2903430019
169	0.5731953033	0.2903234361
170	0.5730758544	0.2902621386
171	0.5733148019	0.2894802342
172	0.569874477	0.2893243085
173	0.5711100272	0.2892327167
174	0.568456329	0.2885591887
175	0.569874477	0.2884897297
176	0.5734158726	0.2883444878
177	0.5723835388	0.2880080097
178	0.5728601253	0.2878741962
179	0.5734956522	0.2877956603
180	0.5726608696	0.2877200591
181	0.5736520289	0.2875943445
182	0.5746807329	0.2874822589
183	0.5746807329	0.2874798417
184	0.5746807329	0.2874645363
185	0.5750346741	0.2873905838
186	0.5750346741	0.2873865026
187	0.5759234874	0.2873196873
188	0.5755874402	0.2871853348
189	0.5750519751	0.287106442
190	0.5752684448	0.2870860668
191	0.5754847645	0.287040529
192	0.5755246208	0.2869670339
193	0.5760764225	0.2868122358
194	0.5765877958	0.286696587
195	0.577568931	0.2866315221
196	0.577568931	0.2866197434
197	0.5789873593	0.2857156851
198	0.5796961326	0.2856853368
199	0.5785580977	0.2855582431
200	0.5785181089	0.2855434919
201	0.5785980921	0.2855397412
202	0.5785980921	0.2855380466
203	0.5783032566	0.2854465287
204	0.5783032566	0.2854432308
205	0.5783032566	0.2854268964
206	0.5775534195	0.2853671208
207	0.5778884049	0.285278283
208	0.5794418348	0.2852091753
209	0.5786528497	0.2851426211
210	0.5795501587	0.2850665015
211	0.579336048	0.2850290181
212	0.5796301408	0.2849607899
213	0.580271593	0.2846280923
214	0.5807384955	0.2845560976
215	0.58081852	0.2844101446
216	0.5805519235	0.284267071
217	0.5814305365	0.2841635883
218	0.5818956629	0.2841122682
219	0.5824802473	0.2840155513
220	0.581988047	0.2839596388
221	0.5815758741	0.2838745093
222	0.5817882159	0.2837956251
223	0.581456044	0.2837587248
224	0.5835390947	0.2836584263
225	0.5835390947	0.2836569464
226	0.5838705253	0.283649637
227	0.5827841845	0.2835712602
228	0.5829959514	0.2834589424
229	0.5828759605	0.2834189281
230	0.582664196	0.2833893558
231	0.5831906295	0.2832728386
232	0.5840526099	0.2831542033
233	0.5848345777	0.2831007985
234	0.5848849945	0.2830451139
235	0.5847544689	0.2829405125
236	0.5850451931	0.2828857469
237	0.5851355051	0.2827488237
238	0.5846638799	0.2822942767
239	0.5847039474	0.2821176624
240	0.584674382	0.2819710295
241	0.5840635268	0.2818648077
242	0.5851456709	0.2817739713
243	0.5866265554	0.2816727877
244	0.58699665	0.2816174318
245	0.5873265432	0.2815746461
246	0.5869565217	0.2815621853
247	0.5874470122	0.2814690312
248	0.587664777	0.2813859245
249	0.5889419795	0.2807791314
250	0.5895741056	0.2806882686
251	0.5897348511	0.2805556383
252	0.590478785	0.2804549185
253	0.5910545306	0.2800053835
254	0.5907667166	0.2794958849
255	0.5905190029	0.2791128503
256	0.590478785	0.2787391025
257	0.590525456	0.2786121439
258	0.5913883409	0.2785279575
259	0.592617769	0.2783980456
260	0.59225017	0.2783433964
261	0.592003264	0.2783129751
262	0.59225017	0.2782886748
263	0.5920435226	0.2781068162
264	0.5932721713	0.2779818448
265	0.5935185814	0.2779689474
266	0.5953639691	0.2778708019
267	0.594180289	0.2778130776
268	0.595081634	0.2776769829
269	0.595081634	0.2776645982
270	0.5951622739	0.2776087401
271	0.5957331527	0.2775489387
272	0.5956928078	0.2775080573
273	0.5971583221	0.2773934012
274	0.5970371373	0.2773408804
275	0.5957331527	0.277248373
276	0.5959377116	0.277218274
277	0.5959377116	0.2772145366
278	0.5963035678	0.277158276
279	0.5967927465	0.2770915443
280	0.5957735031	0.2769973372
281	0.5969947205	0.2769249786
282	0.5969947205	0.2769214558
283	0.5965886016	0.276857136
284	0.5965482234	0.2768454115
285	0.5971179217	0.2767818058
286	0.5964271214	0.2767285929
287	0.5964674833	0.2767251953
288	0.5978907518	0.2766031725
289	0.5980133793	0.2765345461
290	0.5976871576	0.2764697784
291	0.5983783784	0.2763686823
292	0.5967905749	0.2762292826
293	0.5970755483	0.276227115
294	0.5971563981	0.2761483537
295	0.5971159705	0.2761462551
296	0.5976451482	0.2760403152
297	0.5960534346	0.2759382427
298	0.5951960917	0.2758909755
299	0.5951960917	0.2758815061
300	0.5955627926	0.2758596031
301	0.596298556	0.2757909723
302	0.5970331233	0.2757169873
303	0.5970331233	0.2757124015
304	0.5980498375	0.275637821
305	0.5976840252	0.2755900839
306	0.5976840252	0.2755881554
307	0.5974395448	0.2755607209
308	0.5973586184	0.2754975948
309	0.5973181633	0.2754735818
310	0.5970735673	0.2753954535
311	0.5988639437	0.2753562397
312	0.5993507372	0.2752612622
313	0.5990664953	0.2751548765
314	0.5996756318	0.2750857198
315	0.5992291568	0.2749597024
316	0.601660031	0.2749122083
317	0.6017006344	0.2748526485
318	0.6017006344	0.2748512729
319	0.6021041273	0.274823719
320	0.6020635242	0.2747677429
321	0.6019417476	0.2746860382
322	0.6019417476	0.2746507668
323	0.6019417476	0.2746489374
324	0.6023025651	0.2745904494
325	0.6017794554	0.2745261841
326	0.6023056698	0.2744343979
327	0.6029927204	0.2743288828
328	0.6042381433	0.2742655944
329	0.6042381433	0.2742643123
330	0.6042381433	0.2742630743
331	0.6041189931	0.2742444691
332	0.6033113474	0.2741534507
333	0.6042381433	0.2741150579
334	0.6042381433	0.2741139708
335	0.6045635054	0.2740240288
336	0.6050454087	0.2739262965
337	0.6064151705	0.273866134
338	0.6066146814	0.2738225777
339	0.6066962485	0.2737885996
340	0.6054083143	0.273757942
341	0.6057304278	0.2736705707
342	0.605489774	0.2735837192
343	0.6060117006	0.2734796025
344	0.6059302091	0.2734352036
345	0.6064108595	0.2733875567
346	0.6066102378	0.2733439564
347	0.6073706115	0.2732689584
348	0.6067687349	0.2732168204
349	0.6074521652	0.2731989407
350	0.6074521652	0.2731969248
351	0.6074521652	0.2731951965
352	0.6072531901	0.2727527795
353	0.6086956522	0.2726727393
354	0.6086956522	0.272582532
355	0.6073298429	0.2724871188
356	0.6062030075	0.2724299178
357	0.6062030075	0.2724283178
358	0.6062844098	0.2722002947
359	0.6076866322	0.2721295712
360	0.6068863682	0.272024408
361	0.6069271043	0.2719667034
362	0.607126082	0.271899619
363	0.607762955	0.2718445735
364	0.6085616668	0.2717843839
365	0.6080428954	0.2717040896
366	0.6086839989	0.2715800738
367	0.6086839989	0.2715722853
368	0.6086432161	0.2715388481
369	0.608608206	0.2714724762
370	0.6083634901	0.2713903089
371	0.6083227233	0.2713766843
372	0.6085616668	0.2713565077
373	0.6094409106	0.2713288924
374	0.6095633539	0.2713129978
375	0.6100809961	0.2712640495
376	0.6104417671	0.2711553908
377	0.6111222646	0.2711223921
378	0.6109587208	0.2710893123
379	0.6106390097	0.2710855478
380	0.6105234971	0.27100607
381	0.6105234971	0.2710045858
382	0.6108024898	0.2710021776
383	0.6112449799	0.2709496331
384	0.6105305466	0.2709089902
385	0.6105305466	0.270907541
386	0.6111631642	0.2707982092
387	0.6109995986	0.2707677858
388	0.6120320856	0.2706897637
389	0.612670409	0.2706610688
390	0.6126294688	0.2706444388
391	0.613258562	0.2705703329
392	0.6134223706	0.2705437405
393	0.6141732283	0.2704731093
394	0.6140186916	0.2704100158
395	0.6140186916	0.2704085714
396	0.6139777051	0.2703974868
397	0.6144192256	0.2702843907
398	0.6147376852	0.2702008868
399	0.6152511842	0.2701145126
